created_at,entry_id,field1
2020-07-22 09:18:27 UTC,22926,8.27900
2020-07-22 09:18:43 UTC,22927,8.27900
2020-07-22 09:18:58 UTC,22928,8.27900
2020-07-22 09:19:13 UTC,22929,8.27900
2020-07-22 09:19:30 UTC,22930,8.27900
2020-07-22 09:19:46 UTC,22931,8.27900
2020-07-22 09:20:02 UTC,22932,8.27900
2020-07-22 09:20:17 UTC,22933,8.27900
2020-07-22 09:20:32 UTC,22934,8.27900
2020-07-22 09:20:48 UTC,22935,8.27900
2020-07-22 09:21:04 UTC,22936,8.29600
2020-07-22 09:21:20 UTC,22937,8.27900
2020-07-22 09:21:35 UTC,22938,8.27900
2020-07-22 09:21:53 UTC,22939,0.00000
2020-07-22 09:22:12 UTC,22940,0.00000
2020-07-22 09:22:28 UTC,22941,0.00000
2020-07-22 09:22:44 UTC,22942,0.00000
2020-07-22 09:23:02 UTC,22943,0.00000
2020-07-22 09:23:19 UTC,22944,0.00000
2020-07-22 09:23:36 UTC,22945,0.00000
2020-07-22 09:23:53 UTC,22946,0.00000
2020-07-22 09:24:10 UTC,22947,0.00000
2020-07-22 09:24:26 UTC,22948,0.00000
2020-07-22 09:24:42 UTC,22949,0.00000
2020-07-22 09:24:58 UTC,22950,0.00000
2020-07-22 09:25:15 UTC,22951,0.00000
2020-07-22 09:25:32 UTC,22952,0.00000
2020-07-22 09:25:48 UTC,22953,0.00000
2020-07-22 09:26:04 UTC,22954,0.00000
2020-07-22 09:26:21 UTC,22955,0.00000
2020-07-22 09:26:37 UTC,22956,0.00000
2020-07-22 09:26:53 UTC,22957,0.00000
2020-07-22 09:27:10 UTC,22958,0.00000
2020-07-22 09:27:27 UTC,22959,0.00000
2020-07-22 09:27:43 UTC,22960,0.00000
2020-07-22 09:27:59 UTC,22961,0.00000
2020-07-22 09:28:15 UTC,22962,0.00000
2020-07-22 09:28:31 UTC,22963,0.00000
2020-07-22 09:28:47 UTC,22964,0.00000
2020-07-22 09:29:04 UTC,22965,0.00000
2020-07-22 09:29:20 UTC,22966,0.00000
2020-07-22 09:29:37 UTC,22967,0.00000
2020-07-22 09:29:53 UTC,22968,0.00000
2020-07-22 09:30:11 UTC,22969,0.00000
2020-07-22 09:30:28 UTC,22970,0.00000
2020-07-22 09:30:44 UTC,22971,0.00000
2020-07-22 09:31:00 UTC,22972,0.00000
2020-07-22 09:31:17 UTC,22973,0.00000
2020-07-22 09:31:33 UTC,22974,0.00000
2020-07-22 09:31:49 UTC,22975,0.00000
2020-07-22 09:32:05 UTC,22976,0.00000
2020-07-22 09:32:22 UTC,22977,0.00000
2020-07-22 09:32:39 UTC,22978,0.00000
2020-07-22 09:32:55 UTC,22979,0.00000
2020-07-22 09:33:13 UTC,22980,0.00000
2020-07-22 09:33:29 UTC,22981,0.00000
2020-07-22 09:33:45 UTC,22982,0.00000
2020-07-22 09:34:01 UTC,22983,0.00000
2020-07-22 09:34:19 UTC,22984,0.00000
2020-07-22 09:34:35 UTC,22985,0.00000
2020-07-22 09:34:52 UTC,22986,0.00000
2020-07-22 09:35:08 UTC,22987,0.00000
2020-07-22 09:35:24 UTC,22988,0.00000
2020-07-22 09:35:41 UTC,22989,0.00000
2020-07-22 09:36:02 UTC,22990,0.00000
2020-07-22 09:36:19 UTC,22991,0.00000
2020-07-22 09:36:35 UTC,22992,0.00000
2020-07-22 09:36:52 UTC,22993,0.00000
2020-07-22 09:37:08 UTC,22994,0.00000
2020-07-22 09:37:24 UTC,22995,0.00000
2020-07-22 09:37:43 UTC,22996,0.00000
2020-07-22 09:38:00 UTC,22997,0.00000
2020-07-22 09:38:17 UTC,22998,0.00000
2020-07-22 09:38:33 UTC,22999,0.00000
2020-07-22 09:38:49 UTC,23000,0.00000
2020-07-22 09:39:06 UTC,23001,0.00000
2020-07-22 09:39:22 UTC,23002,0.00000
2020-07-22 09:39:39 UTC,23003,0.00000
2020-07-22 09:39:55 UTC,23004,0.00000
2020-07-22 09:40:11 UTC,23005,0.00000
2020-07-22 09:40:27 UTC,23006,0.00000
2020-07-22 09:40:44 UTC,23007,0.00000
2020-07-22 09:41:01 UTC,23008,0.00000
2020-07-22 09:41:17 UTC,23009,0.00000
2020-07-22 09:41:34 UTC,23010,0.00000
2020-07-22 09:41:50 UTC,23011,0.00000
2020-07-22 09:42:06 UTC,23012,0.00000
2020-07-22 09:42:21 UTC,23013,0.00000
2020-07-22 09:42:38 UTC,23014,0.00000
2020-07-22 09:42:54 UTC,23015,0.00000
2020-07-22 09:43:11 UTC,23016,0.00000
2020-07-22 09:43:27 UTC,23017,0.00000
2020-07-22 09:43:43 UTC,23018,0.00000
2020-07-22 09:44:00 UTC,23019,0.00000
2020-07-22 09:44:16 UTC,23020,0.00000
2020-07-22 09:44:32 UTC,23021,0.00000
2020-07-22 09:44:48 UTC,23022,0.00000
2020-07-22 09:45:05 UTC,23023,0.00000
2020-07-22 09:45:21 UTC,23024,0.00000
2020-07-22 09:45:37 UTC,23025,0.00000
